"","BHK","Rent","Size","Area.Type","Area.Locality","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact"
"35","1",7000,400,"Super Area","Koyambedu","Unfurnished","Bachelors/Family",1,"Contact Owner"
"36","2",7000,450,"Super Area","Pammal","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"37","1",6500,500,"Super Area","Velachery","Furnished","Bachelors/Family",1,"Contact Owner"
"38","2",9000,770,"Super Area","Tambaram, GST Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"39","1",4500,150,"Super Area","Velachery","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"40","2",12000,850,"Super Area","Perambur","Unfurnished","Family",2,"Contact Owner"
"41","2",18000,1100,"Carpet Area","Iyyappanthangal","Semi-Furnished","Bachelors",2,"Contact Owner"
"42","2",8000,650,"Carpet Area","Bunder Garden, Perambur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"43","1",5000,550,"Super Area","Sikkarayapuram","Unfurnished","Bachelors/Family",1,"Contact Owner"
"44","2",14000,1000,"Super Area","Kanathur Reddikuppam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"45","1",6500,250,"Super Area","Adambakkam","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"46","2",10000,790,"Carpet Area","Kovilancheri","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"47","2",13000,600,"Super Area","Medavakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"48","2",11200,700,"Super Area","Nanganallur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"49","1",8900,550,"Carpet Area","Karambakkam, Porur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"50","1",12000,500,"Super Area","Arumbakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"51","3",45000,1800,"Carpet Area","Royapettah","Unfurnished","Bachelors",3,"Contact Agent"
"52","3",35000,1550,"Carpet Area","Thiruvanmiyur","Semi-Furnished","Bachelors",2,"Contact Agent"
"53","3",34999,1462,"Carpet Area","Nandambakkam","Semi-Furnished","Family",3,"Contact Agent"
"54","2",11000,970,"Carpet Area","Pallikaranai","Semi-Furnished","Bachelors",2,"Contact Owner"
"55","3",150000,2300,"Carpet Area","Adyar, Sardar Patel Road","Semi-Furnished","Bachelors",3,"Contact Agent"
"56","2",15000,700,"Super Area","Nanganallur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"57","2",15000,674,"Carpet Area","Chromepet, GST Road","Unfurnished","Bachelors",2,"Contact Owner"
"58","2",10000,750,"Carpet Area","Tambaram East","Unfurnished","Family",2,"Contact Owner"
"59","2",12000,1000,"Super Area","Tambaram Sanatorium","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"60","2",10000,1030,"Carpet Area","Camp Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"61","3",35000,1540,"Carpet Area","Ranganathapuram-Medavakkam","Furnished","Bachelors",2,"Contact Owner"
"62","3",40000,1800,"Carpet Area","T Nagar","Unfurnished","Bachelors",3,"Contact Agent"
"63","2",24000,1100,"Super Area","Kodambakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"64","2",12000,985,"Super Area","Oragadam Sriperumbudur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"65","2",30000,1200,"Carpet Area","Mandaiveli","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"66","2",10000,1200,"Super Area","Tambaram, GST Road","Unfurnished","Bachelors/Family",2,"Contact Owner"
"67","2",15000,900,"Super Area","Purasawalkam, PH Road","Unfurnished","Bachelors/Family",2,"Contact Owner"
"68","2",33000,800,"Carpet Area","Abiramapuram","Unfurnished","Bachelors/Family",2,"Contact Agent"
"69","2",9000,800,"Super Area","Perungalathur, Chennai Bypass Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"70","3",30000,1500,"Super Area","Okkiyam Thuraipakkam, E Coast Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"71","2",13000,680,"Super Area","T.Nagar","Unfurnished","Bachelors/Family",2,"Contact Owner"
"72","2",15000,800,"Super Area","KK Nagar West, KK Nagar","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"73","2",12000,875,"Super Area","Madipakkam","Semi-Furnished","Bachelors",2,"Contact Owner"
"74","2",20000,880,"Carpet Area","KK Nagar","Semi-Furnished","Family",2,"Contact Owner"
"75","3",36000,1500,"Super Area","Choolaimedu","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"76","2",10000,950,"Super Area","Sithalapakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"77","2",16000,850,"Super Area","Mambalam West","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"78","1",6000,700,"Super Area","Pachaiyamman Nagar","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"79","3",22000,2000,"Super Area","Pushpa Colony, Saligramam","Semi-Furnished","Family",2,"Contact Owner"
"80","1",6000,450,"Super Area","Nungambakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"81","1",6500,400,"Super Area","Perungudi","Unfurnished","Bachelors/Family",1,"Contact Owner"
"82","1",3000,350,"Super Area","Ennore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"83","3",27000,1650,"Carpet Area","Thillai Ganga Nagar, Nanganallur","Semi-Furnished","Family",3,"Contact Owner"
"84","2",8000,800,"Super Area","Tambaram, GST Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"85","2",12500,600,"Super Area","Abiramapuram","Unfurnished","Bachelors/Family",1,"Contact Owner"
"86","2",11000,800,"Super Area","Perungudi","Unfurnished","Bachelors/Family",1,"Contact Owner"
"87","3",40000,1600,"Super Area","Raja Annamalai Puram","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"88","2",15000,700,"Carpet Area","Choolaimedu","Unfurnished","Bachelors",2,"Contact Agent"
"89","2",8000,800,"Super Area","Kayarambedu","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"90","3",34000,2120,"Super Area","Siruseri","Furnished","Bachelors/Family",3,"Contact Owner"
"91","1",7500,560,"Super Area","Khurunjis zinnia Apartment Homes at Thambaram west","Unfurnished","Bachelors/Family",1,"Contact Owner"
"92","1",14000,420,"Carpet Area","Mambalam West","Unfurnished","Bachelors",1,"Contact Owner"
"93","2",15000,1000,"Built Area","Chromepet, GST Road","Furnished","Bachelors/Family",2,"Contact Owner"
"94","3",21000,1330,"Super Area","AGS Colony-Velachery","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"95","3",12000,930,"Super Area","Kelambakkam, Old Mahabalipuram Road","Semi-Furnished","Family",2,"Contact Owner"
"96","3",75000,1900,"Carpet Area","Gopalapuram","Semi-Furnished","Family",3,"Contact Agent"
"97","2",15000,1200,"Super Area","Pallikaranai","Furnished","Bachelors/Family",2,"Contact Owner"
"98","1",6000,350,"Super Area","Tambaram, GST Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"99","3",20500,1000,"Super Area","Virugambakkam","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"100","2",13500,1210,"Super Area","Padur, Old Mahabalipuram Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"101","2",10000,750,"Carpet Area","Pattabiram","Unfurnished","Bachelors/Family",2,"Contact Owner"
"102","3",15000,1150,"Carpet Area","Pallavaram","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"103","2",11000,800,"Carpet Area","East Coast Road","Unfurnished","Family",2,"Contact Owner"
"104","2",12000,930,"Carpet Area","Tiruvallur","Furnished","Family",2,"Contact Owner"
"105","2",15000,2800,"Carpet Area","Pudur","Unfurnished","Family",2,"Contact Owner"
"106","2",20000,800,"Carpet Area","Vadapalani","Semi-Furnished","Family",2,"Contact Agent"
"107","2",24000,850,"Super Area","Mylapore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"108","2",16000,650,"Super Area","Mylapore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"109","2",10000,770,"Super Area","Perungalathur, Chennai Bypass Road","Unfurnished","Family",1,"Contact Owner"
"110","3",30000,1800,"Carpet Area","Villivakkam, Jawaharlal Nehru Road","Semi-Furnished","Bachelors",3,"Contact Owner"
"111","3",26000,1100,"Carpet Area","Jafferkhanpet","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"112","2",10000,950,"Super Area","Anakaputhur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"113","3",15000,1250,"Super Area","Iyyappanthangal","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"114","1",9000,400,"Super Area","Mylapore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"115","2",9000,575,"Carpet Area","Mappedu, Selaiyur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"116","2",15000,1234,"Super Area","Medavakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"117","2",12000,870,"Carpet Area","Ambattur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"118","2",20000,1162,"Super Area","Velachery","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"119","3",15000,2200,"Super Area","Irumbuliyur","Unfurnished","Bachelors",3,"Contact Owner"
"120","1",8000,500,"Super Area","Sadasiva Nagar Madipakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"121","3",13000,900,"Super Area","Perambur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"122","1",6800,600,"Super Area","New Perungalathur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"123","2",9000,600,"Super Area","Ayanavaram","Furnished","Bachelors/Family",1,"Contact Owner"
"124","3",14000,1600,"Carpet Area","Mathur","Furnished","Bachelors/Family",3,"Contact Owner"
"125","4",55000,2400,"Carpet Area","Thiruvanmiyur","Unfurnished","Bachelors/Family",4,"Contact Agent"
"126","3",50000,1600,"Carpet Area","Adyar, Sardar Patel Road","Semi-Furnished","Bachelors",3,"Contact Agent"
"127","1",8000,400,"Carpet Area","Venkateshwara Nagar, Ramapuram, PH Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"128","2",16000,1000,"Super Area","Kodambakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"129","2",15000,600,"Carpet Area","villvam towers tnhb colony","Unfurnished","Bachelors",2,"Contact Owner"
"130","2",15000,750,"Carpet Area","YES YES SARAS","Unfurnished","Bachelors",2,"Contact Owner"
"131","2",15000,700,"Super Area","Thirumullaivoyal","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"132","4",75000,2200,"Super Area","2nd Main Road","Semi-Furnished","Family",5,"Contact Owner"
"133","1",9000,500,"Super Area","KK Nagar","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"134","1",6500,700,"Super Area","Ayappakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"135","3",17000,1480,"Super Area","Perumbakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"136","3",49000,1700,"Carpet Area","Sholinganallur","Furnished","Bachelors",3,"Contact Agent"
"137","2",15000,830,"Super Area","Mangadu","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"138","3",25000,1425,"Carpet Area","Perungalathur, Chennai Bypass Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"139","3",40000,1550,"Carpet Area","Mandaiveli","Unfurnished","Bachelors",3,"Contact Agent"
"140","1",8000,200,"Super Area","Annanagar East","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"141","2",17500,1200,"Carpet Area","Anna Nagar West","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"142","3",11000,800,"Super Area","Medavakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"143","3",8500,1261,"Carpet Area","Thiruporur","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"144","2",11000,425,"Carpet Area","Old Washermanpet","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"145","2",12500,940,"Super Area","Kazhipattur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"146","3",90000,2300,"Carpet Area","Gopalapuram","Semi-Furnished","Bachelors",3,"Contact Agent"
"147","2",14000,700,"Super Area","Thanikachalam Nagar, Ponniammanmedu","Unfurnished","Bachelors/Family",2,"Contact Owner"
"148","3",150000,2400,"Carpet Area","Kapaleeswarar Nagar, Neelankarai, E Coast Road","Furnished","Bachelors/Family",3,"Contact Agent"
"149","2",25000,1145,"Super Area","Navalur","Semi-Furnished","Bachelors",2,"Contact Owner"
"150","2",18000,750,"Super Area","Padur, Old Mahabalipuram Road","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"151","3",17000,1250,"Super Area","Valasaravakkam, Arcot Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"152","2",8500,900,"Super Area","Anakaputhur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"153","3",15000,800,"Carpet Area","Pudupakkam","Semi-Furnished","Bachelors",2,"Contact Owner"
"154","2",22000,800,"Super Area","Ashok Nagar","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"155","2",15000,900,"Super Area","Perungalathur, Chennai Bypass Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"156","2",10000,600,"Super Area","Anna Nagar-Pammal","Unfurnished","Bachelors/Family",1,"Contact Owner"
"157","1",5000,250,"Super Area","Aminjikarai, PH Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"158","2",10000,910,"Super Area","Mannivakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"159","3",15000,1350,"Super Area","Kovilambakkam","Unfurnished","Bachelors/Family",3,"Contact Owner"
"160","3",34500,450,"Carpet Area","Teynampet","Semi-Furnished","Bachelors",3,"Contact Owner"
"161","1",8000,600,"Super Area","Velachery","Unfurnished","Bachelors/Family",1,"Contact Owner"
"162","3",330000,3600,"Carpet Area","Madras Boat Club Road","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"163","2",22000,800,"Carpet Area","R.A Puram, Mandaiveli","Unfurnished","Family",2,"Contact Owner"
"164","2",13000,850,"Carpet Area","AGS Colony-Velachery","Unfurnished","Family",2,"Contact Owner"
"165","2",6500,1000,"Super Area","Tiruvallur, Kakkalur, Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"166","2",18000,900,"Carpet Area","Velachery","Semi-Furnished","Bachelors",2,"Contact Agent"
"167","3",30000,2400,"Super Area","Uthandi","Furnished","Bachelors/Family",3,"Contact Owner"
"168","1",8500,400,"Carpet Area","Dr Ranga Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"169","4",20000,1900,"Carpet Area","Old Mahabalipuram Road","Semi-Furnished","Family",4,"Contact Agent"
"170","2",12000,900,"Super Area","Kolathur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"171","2",18000,805,"Super Area","Gopalapuram","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"172","2",19000,1200,"Super Area","Saidapet West, Saidapet","Unfurnished","Bachelors/Family",2,"Contact Owner"
"173","2",12000,800,"Super Area","Manikandan Nagar","Furnished","Bachelors/Family",2,"Contact Owner"
"174","3",16000,1158,"Carpet Area","Urapakkam, Vandalur R.F, GST Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"175","1",5700,400,"Super Area","Redhills","Unfurnished","Bachelors/Family",1,"Contact Owner"
"176","1",15000,450,"Super Area","Mylapore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"177","2",11000,960,"Super Area","Kovilambakkam","Semi-Furnished","Family",2,"Contact Owner"
"178","3",17000,1400,"Super Area","Mambakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"179","2",18000,970,"Super Area","Thoraipakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"180","2",9500,1000,"Super Area","Old Washermanpet","Unfurnished","Bachelors/Family",2,"Contact Owner"
"181","2",12000,900,"Carpet Area","Adambakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"182","2",8000,800,"Super Area","Urapakkam, Vandalur R.F, GST Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"183","2",12000,1100,"Carpet Area","New Perungalathur","Semi-Furnished","Family",1,"Contact Owner"
"184","2",16000,800,"Super Area","Thiruvanmiyur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"185","2",8000,800,"Super Area","Poonamalle","Unfurnished","Bachelors/Family",1,"Contact Owner"
"186","2",10000,898,"Super Area","Kalavakkam","Semi-Furnished","Family",2,"Contact Owner"
"187","2",15000,800,"Carpet Area","Vadapalani","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"188","2",7500,600,"Super Area","Vandalur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"189","3",30000,2000,"Carpet Area","rgl bungalows","Furnished","Bachelors/Family",3,"Contact Owner"
"190","2",16000,870,"Super Area","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner"
"191","2",14000,1100,"Carpet Area","Old Mahabalipuram Road","Semi-Furnished","Family",2,"Contact Agent"
"192","2",10000,650,"Carpet Area","Near Jeyachandran textiles","Unfurnished","Bachelors/Family",2,"Contact Owner"
"193","3",25000,1100,"Carpet Area","Korattur, Jawaharlal Nehru Road","Unfurnished","Bachelors",2,"Contact Agent"
"194","2",11500,1250,"Carpet Area","S.Kolathur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"195","2",11000,1145,"Super Area","Ambattur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"196","2",10000,780,"Super Area","Madipakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"197","1",7000,680,"Super Area","Kelambakkam, Old Mahabalipuram Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"198","2",18000,860,"Super Area","Ashok Nagar","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"199","1",7500,600,"Super Area","Perungalathur, Chennai Bypass Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"200","2",7500,750,"Carpet Area","Oragadam","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"201","2",12000,800,"Super Area","Chitlapakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"202","2",12000,570,"Carpet Area","Perungalathur, Chennai Bypass Road","Unfurnished","Bachelors/Family",2,"Contact Owner"
"203","2",40000,1150,"Super Area","Raja Annamalai Puram","Furnished","Bachelors/Family",2,"Contact Owner"
"204","1",5000,350,"Super Area","Kolathur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"205","2",20000,894,"Super Area","Tiruvenkadam Nagar","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"206","1",6500,600,"Super Area","Perambur","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"207","3",12000,900,"Super Area","Anakaputhur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"208","1",12000,550,"Super Area","Purasawalkam, PH Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"209","2",14000,717,"Super Area","Sholinganallur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"210","2",13000,660,"Carpet Area","Virugambakkam","Semi-Furnished","Family",2,"Contact Agent"
"211","1",9000,700,"Carpet Area","Sivalingapuram","Semi-Furnished","Family",1,"Contact Owner"
"212","1",10000,800,"Super Area","Navalur","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"213","3",15000,1070,"Super Area","Medavakkam","Unfurnished","Family",2,"Contact Owner"
"214","2",15000,1000,"Super Area","Anna Nagar West Extension","Semi-Furnished","Family",2,"Contact Owner"
"215","2",19000,1500,"Super Area","Porur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"216","2",15000,900,"Super Area","Velachery","Unfurnished","Bachelors/Family",2,"Contact Owner"
"217","2",16000,1700,"Super Area","Pallikaranai","Unfurnished","Bachelors/Family",2,"Contact Owner"
"218","2",12000,900,"Super Area","Perungalathur, Chennai Bypass Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"219","2",11000,805,"Super Area","Madhavaram, Guntur Chennai Highway","Unfurnished","Bachelors/Family",2,"Contact Owner"
"220","2",8000,750,"Super Area","Kovur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"221","2",10000,1000,"Super Area","Singaperumal Koil, Tiruchi Chennai Highway","Furnished","Bachelors/Family",2,"Contact Owner"
"222","3",70000,1500,"Carpet Area","T Nagar","Furnished","Bachelors/Family",3,"Contact Owner"
"223","3",45000,3200,"Super Area","Panaiyur, E Coast Road","Unfurnished","Bachelors/Family",3,"Contact Owner"
"224","3",60000,1700,"Carpet Area","Vadapalani","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"225","2",12000,1000,"Super Area","Maduravoyal","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"226","3",80000,2036,"Super Area","Mandaiveli","Semi-Furnished","Bachelors",3,"Contact Agent"
"227","2",23999,610,"Carpet Area","Kannan Colony, Pazhavanthangal","Furnished","Bachelors/Family",1,"Contact Agent"
"228","2",23000,1100,"Super Area","Thoraipakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"229","2",16000,900,"Carpet Area","Thirumangalam-Anna Nagar West","Semi-Furnished","Bachelors",2,"Contact Owner"
"230","2",14000,840,"Super Area","Krishna Nagar-Chromepet, Chromepet","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"231","3",13000,965,"Super Area","Mangadu","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"232","2",14000,800,"Super Area","Tiruvottiyur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"233","1",7000,700,"Super Area","Ponneri","Unfurnished","Bachelors/Family",2,"Contact Owner"
"234","1",3500,600,"Super Area","Kundrathur, Pallavaram Kundrathur Main Road","Unfurnished","Bachelors",1,"Contact Owner"
"235","1",12000,650,"Carpet Area","355 konnur highroad Ayanavaram","Semi-Furnished","Family",2,"Contact Owner"
"236","1",8000,320,"Super Area","Kolathur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"237","2",25000,700,"Super Area","Aminjikarai, PH Road","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"238","2",12000,850,"Super Area","Velachery","Unfurnished","Bachelors/Family",2,"Contact Owner"
"239","1",7000,550,"Super Area","Valasaravakkam, Arcot Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"240","3",20000,1400,"Carpet Area","Padur, Old Mahabalipuram Road","Semi-Furnished","Family",3,"Contact Owner"
"241","2",18000,1300,"Super Area","Velachery","Unfurnished","Bachelors/Family",2,"Contact Owner"
"242","2",15000,1125,"Super Area","Thalambur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"243","2",11000,780,"Carpet Area","Mugalivakkam","Semi-Furnished","Family",2,"Contact Owner"
"244","3",65000,2200,"Carpet Area","Alwarpet","Unfurnished","Bachelors",3,"Contact Agent"
"245","3",75000,2500,"Carpet Area","Mandaiveli","Unfurnished","Bachelors/Family",3,"Contact Agent"
"246","1",15000,1300,"Super Area","Anna Nagar","Furnished","Bachelors",2,"Contact Owner"
"247","2",12000,619,"Carpet Area","Chromepet, GST Road","Furnished","Bachelors/Family",1,"Contact Owner"
"248","2",8500,700,"Carpet Area","Ambattur","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"249","3",38000,2100,"Super Area","Ashok Nagar","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"250","3",30000,2000,"Super Area","Ashok Nagar","Unfurnished","Bachelors/Family",3,"Contact Owner"
"251","1",9000,700,"Super Area","venkatesa perumal nagar","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"252","3",25000,2000,"Super Area","Kattupakkam, PH Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"253","2",9000,600,"Carpet Area","Valasaravakkam, Arcot Road","Unfurnished","Bachelors/Family",2,"Contact Owner"
"254","1",8500,550,"Carpet Area","Arunachalam Nagar, Madipakkam","Unfurnished","Bachelors",2,"Contact Owner"
"255","1",7000,300,"Super Area","Pazhavanthangal, Jawaharlal Nehru Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"256","2",25000,800,"Carpet Area","Anna Nagar","Semi-Furnished","Bachelors",2,"Contact Agent"
"257","2",8500,850,"Super Area","Mathur","Unfurnished","Bachelors/Family",2,"Contact Owner"
